0;1
yaudah;yasudah
xinjingping;xin jin ping
wacanya;wacana
ngusung;usung
usak;usah
ngurus;urus
ngurusin;urus
urusin;urus
for;untuk
hun;un
ummat;umat
ujungnya;ujung
pangucape;ucap
rubah;ubah
change;ubah
duit;uang
nuruti;turut
nunggu;tunggu
nungguin;tunggu
nunduk;tunduk
numpuk;tumpuk
menumpuk;tumpuk
ngetop;top
tontoken;tonton
nolak;tolak
ditolak;tolak
prank;tipuan
ngeprank;tipuan
tingkahnya;tingkah
ketimbang;timbang
gausah;tidak usah
gatau;tidak tau
gasalah;tidak salah
gajelas;tidak jelas
gabecus;tidak becus
gapapa;tidak apa apa
gak;tidak
ga;tidak
ora;tidak
kagak;tidak
engga;tidak
nggak;tidak
no;tidak
tidka;tidak
keteter;teter
sakarepmu;terserah
serah;terserah
karep;terserah
karepmu;terserah
ketemu;temu
tertawa;tawa
nangkap;tangkap
mempertanggungjawabkan;tanggungjawab
dipertahankan;tahan
nabrak;tabrak
ngaririweh;susah
nyusahin;susah
survey;survei
Sulawaesi;sulawesi
sidah;sudah
stadion;stadiun
nyagak;sogok
sikon;situasi kondisi
simple;simpel
monggo;silahkan
siapapun;siapa
shat;shaf
sewod;sewot
nyesal;sesal
serbah;serba
kayak;seperti
siga;seperti
kaya;seperti
kabeh;semua
semejak;semenjak
makin;semakin
kelar;selesai
kelarin;selesai
sejahterakan;sejahtera
segilitiran;segelintir
rada;sedikit
sebenernya;sebenarnya
sebel;sebal
gua;saya
aing;saya
ane;saya
sodara;saudara
kesatuan;satu
satuin;satu
santiago;sandiaga
tersandra;sandera
sala;salah
aja;saja
saradar;sadar
isih;risih
ridho;rida
diributin;ribut
ributin;ribut
rejim;rezim
merancang;rancang
rayat;rakyat
rakyatnya;rakyat
qodoqri;qodori
qodorok;qodari
kodari;qodari
qofari;qodari
kodarun;qodari
kasidah;qasidah
muter;putar
mumet;pusing
pungutan;pungut
berprikemanusian;prikemanusiaan
presidennya;presiden
premature;prematur
kepolisian;polisi
pinter;pintar
dipilih;pilih
berfikir;pikir
mikirnya;pikir
mikirin;pikir
pikirkan;pikir
pikirin;pikir
peterpantopeng;peterpan topeng
order;pesan
perushaan;perusahaan
pernayataan;pernyataan
perkoro;perkara
perioede;periode
pemeriksa;periksa
pergilah;pergi
kepedean;percaya diri
caya;percaya
war;perang
milu;pemilu
selow;pelan
pelaksanaanya;pelaksanaan
perek;pelacur
pastilah;pasti
pdip;partai demokrasia indonesia perjuangan
partas;pantas
maksa;paksa
maksain;paksa
pake;pakai
faham;paham
padal;padahal
pede;pada
podo;pada
ngomong;omong
diomongin;omong
by;oleh
mengobrakabrik;obrak abrik
nenekmu;nenek
negri;negeri
negera;negara
negoro;negara
mewek;nangis
mumpun;mumpug
mulutnya;mulut
gampang;mudah
please;mohon
impi;mimpi
merdekasemuanya;merdeka semuanya
menteri;mentri
emang;memang
masya;masyaallah
maruk;maruk
kamaruk;maruk
kemaruk;maruk
mantep;mantap
maluin;malu
males;malas
maksudnya;maksud
mangkanya;maka
logikanya;logika
lemahnya;lemah
lela;lelah
layaknya;layak
melawan;lawan
lawa;lawak
suwe;lama
laen;lain
mengumpulkan;kumpul
kumpulin;kumpul
kekuasaan;kuasa
dikuasi;kuasa
komporin;kompor
kpknya;komisi pemberantasan korupsi
komisarin;komisaris
kirain;kira
ngibulin;kibul
penghianat;khianat
menghianati;khianat
khayal;khaya
khawatirin;khawatir
kerjaan;kerja
kanapa;kenapa
ngejar;kejar
kasi;kasih
karna;karena
elu;kamu
lo;kamu
maneh;kamu
klitanya;kali tanya
ngaco;kacau
kabare;kabar
jokopro;jokpro
menjilat;jilat
jilad;jilat
jilatin;jilat
majelas;jelas
menjatuhkan;jatuh
nyunsep;jatuh
nyungsep;jatuh
jandah;janda
dijamin;jamin
pengen;ingin
pingin;ingin
inget;ingat
imfrastruktur;infrastruktur
indonesian;indonesia
ngiler;iler
legowo;ikhlas
emak;ibu
utang;hutang
hoax;hoaks
harusnya;harus
berharap;harap
ngarepin;harap
ancur;hancur
halu;halusinasi
menghadapi;hadap
abis;habis
golongna;golongan
golangan;golongan
gile;gila
begetar;getar
gerombolan;gerombol
gentian;ganti
firun;firaun
erah;era
eksplor;eksplorasi
dongo;dungu
diem;diam
kedewasaanya;dewasa
deritanya;derita
mendeklarasikan;deklarasi
mendatang;datang
dagel;dagelan
nyoblos;coblos
china;cina
cepet;cepat
secepatnya;cepat
mencela;cela
cape;capek
cawapres;calon wakil presiden
nyalon;calon
calonnya;calon
nggedabrus;cakap
esok;c
sekar;c
dibumihanguskan;bumihangus
bulshit;bullshit
buktinya;bukti
dibuat;buat
pembohong;bohong
bloon;bodoh
bodo;bodoh
sibodoh;bodoh
bodoamat;bodo amat
bisnisman;bisnis
biasanya;biasa
biasanyya;biasa
gede;besar
pemberantasan;berantas
amburadul;berantakan
beranta;berantah
berangkatin;berangkat
bengak;bengek
hater;benci
beneran;benar
bener;benar
gituan;begitu
gini;begini
bayari;bayar
treshold;batas
bare;baru
baperan;baper
pade;bapak
pakdhe;bapak
pakde;bapak
papa;bapak
kebanyakan;banyak
membangun;bangun
bangsaku;bangsa
bankrupt;bangkrut
kebangeten;banget
ngebahas;bahas
happy;bahagia
bagusya;bagus
pie;bagaimana
gimana;bagaimana
bagemaba;bagaimana
asalan;asal
sihantek;antek
anis;anies
terangkat;angkat
alhmdulilah;alhamdulillah
ku;aku
ngajak;ajak
agas;agar
adek;adik
aza;ada
adain;ada
pengabdian;abdi
ngabalin;abal
ide;
sing;
wus;
dadi;
pun;
yah;
tum;
merdeka;
tenan;
anu;
mua;
dewi;
dak;
mas;
ajor;
ojok;
dan;
keok;
waiki;
bro;
hayo;
ngono;
ojo;
uju;
ahsp;
deh;
direktur;
alah;
sang;
anjir;
manfaat;
hei;
waeluweh;
oh;
tuh;
ya;
kan;
blas;
eh;
di;
neng;
opo;
oke;
lah;
mak;
pen;
ngene;
ut;
waduh;
seu;
atuh;
bu;
hey;
hadu;
yaqut;
sungsang;
eta;
alamanak;
wes;
ah;
ke;
kok;
